Species,LifeForm,Count,Mean,Rank,CumAve
Agropyron sp ,graminoid,10,12.47,1,12.47
Poa sp ,graminoid,10,12.17,2,24.64
Lupinus sp ,forb,10,8.11,3,32.75
Bromus tectorum,graminoid,10,5.02,4,37.77
Balsamorhiza sagittata,forb,10,4.33,5,42.1
Salix sp  stem,shrub,10,3.25,6,45.35
Stipa comata,graminoid,10,2.78,7,48.13
Carex sp ,graminoid,10,2.66,8,50.79
Elymus glaucus,graminoid,10,2.64,9,53.43
Verbascum sp ,forb,10,2.51,10,55.94
Centaurea sp ,forb,10,2.5,11,58.44
Composite hair,comphair,10,2.2,12,60.64
Medicago sativa,forb,10,2.05,13,62.69
Other Grass,graminoid,10,1.83,14,64.52
Bromus inermis,graminoid,10,1.82,15,66.34
Trifolium sp ,forb,10,1.72,16,68.06
Other Forb,forb,10,1.64,17,69.7
Physocarpus sp  leaf,shrub,10,1.55,18,71.25
Alopecurus sp ,graminoid,10,1.45,19,72.7
Cirsium sp ,forb,10,1.33,20,74.03
Shepherdia sp  leaf,shrub,10,1.32,21,75.35
Festuca altaica campestris,graminoid,10,1.3,22,76.65
Vaccinium sp  stem,shrub,10,1.3,23,77.95
Festuca idahoensis,graminoid,10,1.18,24,79.13
Dactylis glomerata,graminoid,10,1.11,25,80.24
Populus sp  stem,tree,10,1,26,81.24
Phleum pratense,graminoid,10,0.96,27,82.2
Poa pratensis,graminoid,10,0.95,28,83.15
Galium sp ,forb,10,0.93,29,84.08
Achillea millefolium,forb,10,0.91,30,84.99
Zea mays,graminoid,10,0.87,31,85.86
Calamagrostis rubescens,graminoid,10,0.83,32,86.69
Other Shrub stem,shrub,10,0.83,33,87.52
Taraxacum sp ,forb,10,0.81,34,88.33
Astragalus sp ,forb,10,0.77,35,89.1
Other Shrub leaf,shrub,10,0.75,36,89.85
Koeleria macrantha,graminoid,10,0.71,37,90.56
Potentilla sp  leaf,forb,10,0.61,38,91.17
Triticum aestivum,graminoid,10,0.61,39,91.78
Solidago sp ,forb,10,0.54,40,92.32
Flower,unk,10,0.5,41,92.82
Pinus sp ,tree,10,0.48,42,93.3
Seed Nut,seed,10,0.43,43,93.73
Pseudoroegneria spicata,graminoid,10,0.42,44,94.15
Chamerion angustifolium,forb,10,0.41,45,94.56
Amelanchier sp  stem,shrub,10,0.39,46,94.95
