Species,LifeForm,Count,Mean,Rank,CumAve
Poa sp ,graminoid,10,14.21,1,14.21
Agropyron sp ,graminoid,10,8.52,2,22.73
Carex sp ,graminoid,10,7.34,3,30.07
Verbascum sp ,forb,10,6.84,4,36.91
Poa pratensis,graminoid,10,5.43,5,42.34
Bromus tectorum,graminoid,10,5.34,6,47.68
Medicago sativa,forb,10,4.23,7,51.91
Festuca altaica campestris,graminoid,10,3.59,8,55.5
Pseudoroegneria spicata,graminoid,10,3.25,9,58.75
Stipa comata,graminoid,10,3.01,10,61.76
Elymus glaucus,graminoid,10,2.77,11,64.53
Calamagrostis rubescens,graminoid,10,2.45,12,66.98
Lupinus sp ,forb,10,2.37,13,69.35
Bromus inermis,graminoid,10,2.36,14,71.71
Shepherdia sp  leaf,shrub,10,2.36,15,74.07
Physocarpus sp  leaf,shrub,10,2,16,76.07
Other Grass,graminoid,10,1.82,17,77.89
Festuca idahoensis,graminoid,10,1.69,18,79.58
Phleum pratense,graminoid,10,1.45,19,81.03
Ranunculus sp ,forb,10,1.44,20,82.47
Salix sp  stem,shrub,10,1.37,21,83.84
Balsamorhiza sagittata,forb,10,1.34,22,85.18
Agropyron cristatum,graminoid,10,1.28,23,86.46
Equisetum sp ,forb,10,0.97,24,87.43
Astragalus sp ,forb,10,0.9,25,88.33
Achillea millefolium,forb,10,0.73,26,89.06
Other Forb,forb,10,0.7,27,89.76
Koeleria macrantha,graminoid,10,0.69,28,90.45
Aristida purpurea,graminoid,10,0.65,29,91.1
Centaurea sp ,forb,10,0.62,30,91.72
Galium sp ,forb,10,0.57,31,92.29
Potentilla sp ,forb,10,0.52,32,92.81
Symphoricarpos albus leaf,shrub,10,0.5,33,93.31
Pinus sp ,tree,10,0.49,34,93.8
Composite hair,comphair,10,0.45,35,94.25
Trifolium sp ,forb,10,0.42,36,94.67
