Species,LifeForm,Count,Mean,Rank,CumAve
Carex sp ,graminoid,11,12.02,1,12.02
Poa sp ,graminoid,11,9.82,2,21.84
Lupinus sp ,forb,11,7.51,3,29.35
Agropyron sp ,graminoid,11,5.53,4,34.88
Festuca altaica campestris,graminoid,11,5.46,5,40.34
Verbascum sp ,forb,11,4.08,6,44.42
Stipa comata,graminoid,11,3.95,7,48.37
Centaurea sp ,forb,11,2.62,8,50.99
Salix sp  stem,shrub,11,2.3,9,53.29
Other Forb,forb,11,2.25,10,55.54
Pinus sp ,tree,11,2.11,11,57.65
Festuca idahoensis,graminoid,11,1.83,12,59.48
Bromus inermis,graminoid,11,1.79,13,61.27
Poa pratensis,graminoid,11,1.76,14,63.03
Calamagrostis rubescens,graminoid,11,1.55,15,64.58
Medicago sativa,forb,11,1.48,16,66.06
Cirsium sp ,forb,11,1.41,17,67.47
Vaccinium sp  stem,shrub,11,1.38,18,68.85
Balsamorhiza sagittata,forb,11,1.37,19,70.22
Shepherdia sp  leaf,shrub,11,1.36,20,71.58
Achillea millefolium,forb,11,1.35,21,72.93
Potentilla sp ,forb,11,1.32,22,74.25
Symphoricarpos albus leaf,shrub,11,1.24,23,75.49
Other Grass,graminoid,11,1.15,24,76.64
Trifolium sp ,forb,11,1.12,25,77.76
Triticum aestivum,graminoid,11,1.08,26,78.84
Solidago sp ,forb,11,0.91,27,79.75
Zea mays,graminoid,11,0.91,28,80.66
Taraxacum sp ,forb,11,0.87,29,81.53
Berberis repens leaf,shrub,11,0.85,30,82.38
Koeleria macrantha,graminoid,11,0.84,31,83.22
Other Shrub leaf,shrub,11,0.79,32,84.01
Xerophyllum tenax,forb,11,0.79,33,84.8
Penstemon sp ,forb,11,0.75,34,85.55
Phleum pratense,graminoid,11,0.75,35,86.3
Prunus sp  leaf,shrub,11,0.75,36,87.05
Phlox sp ,forb,11,0.71,37,87.76
Bromus tectorum,graminoid,11,0.69,38,88.45
Salix sp  leaf,shrub,11,0.68,39,89.13
Physocarpus sp  leaf,shrub,11,0.62,40,89.75
Composite hair,comphair,11,0.61,41,90.36
Cornus sp  leaf,forb,11,0.6,42,90.96
Elymus glaucus,graminoid,11,0.55,43,91.51
Alopecurus sp ,graminoid,11,0.54,44,92.05
Other Shrub stem,shrub,11,0.54,45,92.59
Astragalus sp ,forb,11,0.52,46,93.11
Populus sp  stem,tree,11,0.41,47,93.52
Moss,moss,11,0.37,48,93.89
Rosa sp  leaf,shrub,11,0.37,49,94.26
Agropyron cristatum,graminoid,11,0.33,50,94.59
Castilleja sp ,forb,11,0.3,51,94.89
