"Species","LifeForm","Count","Mean","Rank","CumAve","PlantCode"
"Penstemon sp","forb",11,0.75,34,85.55,"PENS SP"
"Poa sp","graminoid",31,11.99354839,1,11.99354839,"POA SP"
"Agropyron sp","graminoid",31,8.732258065,2,20.72580645,"AGRO SP"
"Carex sp","graminoid",31,7.490322581,3,28.21612903,"CARE SP"
"Lupinus sp","forb",31,6.04516129,4,34.26129032,"LUPI SP"
"Verbascum sp","forb",31,4.464516129,5,38.72580645,NA
"Bromus tectorum","graminoid",31,3.587096774,6,42.31290323,"BROTEC"
"Festuca altaica campestris","graminoid",31,3.516129032,7,45.82903226,NA
"Stipa comata","graminoid",31,3.267741935,8,49.09677419,"STICOM"
"Poa pratensis","graminoid",31,2.683870968,9,51.78064516,"POAPRA"
"Medicago sativa","forb",31,2.551612903,10,54.33225806,"MEDSAT"
"Balsamorhiza sagittata","forb",31,2.316129032,11,56.6483871,"BALSAG"
"Salix sp","shrub",31,2.306451613,12,58.95483871,"SALI SP"
"Bromus inermis","graminoid",31,1.983870968,13,60.93870968,"BROINE"
"Elymus glaucus","graminoid",31,1.938709677,14,62.87741935,"ELYGLA"
"Centaurea sp","forb",31,1.935483871,15,64.81290323,NA
"Shepherdia sp","shrub",31,1.670967742,16,66.48387097,NA
"Calamagrostis rubescens","graminoid",31,1.609677419,17,68.09354839,"CALRUB"
"Festuca idahoensis","graminoid",31,1.574193548,19,71.25483871,"FESIDA"
"Physocarpus sp","shrub",31,1.364516129,21,74.17419355,NA
"Pseudoroegneria spicata","graminoid",31,1.229032258,22,75.40322581,"PSESPI"
"Trifolium sp","forb",31,1.087096774,23,76.49032258,"TRIF SP"
"Pinus sp","tree",31,1.061290323,25,78.62258065,NA
"Phleum pratense","graminoid",31,1.041935484,26,79.66451613,"PHLPRA"
"Achillea millefolium","forb",31,1.006451613,27,80.67096774,"ACHMIL"
"Cirsium sp","forb",31,0.948387097,28,81.61935484,NA
"Vaccinium sp","shrub",31,0.932258065,29,82.5516129,NA
"Alopecurus sp","graminoid",31,0.767741935,30,83.31935484,NA
"Koeleria macrantha","graminoid",31,0.748387097,31,84.06774194,"KOEMAC"
"Astragalus sp","forb",31,0.722580645,32,84.79032258,"ASTR SP"
"Taraxacum sp","forb",31,0.703225806,33,85.49354839,NA
"Symphoricarpos albus","shrub",31,0.674193548,34,86.16774194,"SYMALB"
"Potentilla sp","forb",21,0.635483871,35,86.80322581,"POTE SP"
"Zea mays","graminoid",21,0.603225806,37,88.01290323,"ZEAMAY"
"Triticum aestivum","graminoid",21,0.580645161,38,88.59354839,"TRIAES"
"Galium sp","forb",31,0.570967742,39,89.16451613,NA
"Ranunculus sp","forb",31,0.570967742,40,89.73548387,"RANU SP"
"Solidago sp","forb",31,0.551612903,41,90.28709677,NA
"Agropyron cristatum","graminoid",21,0.529032258,42,90.81612903,"AGRCRI"
"Populus sp","tree",21,0.467741935,44,91.77741935,NA
"Dactylis glomerata","graminoid",21,0.461290323,45,92.23870968,"DACGLO"
"Equisetum sp","forb",31,0.438709677,46,92.67741935,NA
"Salix sp","shrub",31,0.419354839,47,93.09677419,"SALI SP"
"Berberis repens","shrub",21,0.396774194,48,93.49354839,"BERREP"
"Prunus sp","shrub",31,0.316129032,49,93.80967742,NA
"Phlox sp","forb",31,0.303225806,50,94.11290323,NA
"Aristida purpurea","graminoid",21,0.280645161,51,94.39354839,NA
"Xerophyllum tenax","forb",11,0.280645161,52,94.67419355,"XERTEN"
"Cornus sp","forb",21,0.277419355,53,94.9516129,NA
